선수,날짜,연도,팀,보직,pbp_source_games,pbp_pitcher_ids,pbp_pitch_count,pbp_tracked_pitches,pbp_avg_velocity,pbp_hard_velocity,pbp_hard_usage,pbp_csw_rate,pbp_zone_rate,pbp_first_pitch_strike_rate,pbp_late_velocity_delta,pbp_high_pressure_share,pbp_entry_inning,pbp_entry_outs,pbp_entry_runners,pbp_entry_run_margin,pbp_entry_base_out_re,pbp_close_late_entry,pbp_hard_release_count,pbp_hard_release_side_ft,pbp_hard_release_height_ft,pbp_hard_release_dispersion_in,pbp_batters_faced,pbp_re24_allowed,pbp_re24_allowed_per_bf,pbp_pitch_count_difference
원상현,2024-04-19,2024,KT,SP,1,1,87,87,136.172414,145.043478,0.528736,0.275862,0.402299,0.625,-2.4,0.0,1,0,0,0,0.559513,False,46,-1.300495,5.395915,2.702352,24,0.06296,0.002623,0
원상현,2024-04-25,2024,KT,SP,1,1,83,83,132.819277,142.727273,0.39759,0.253012,0.433735,0.409091,-1.181818,0.0,1,0,0,0,0.559513,False,33,-1.30098,5.09486,1.875734,22,-3.357075,-0.152594,0
원상현,2024-05-01,2024,KT,SP,1,1,73,73,140.068493,145.55102,0.671233,0.219178,0.39726,0.347826,-2.75,0.0,1,0,0,1,0.559513,False,49,-1.39768,5.36367,1.848345,23,7.329579,0.318677,0
원상현,2024-05-10,2024,KT,SP,1,1,85,85,132.988235,143.393939,0.388235,0.317647,0.517647,0.666667,-1.818182,0.0,1,0,0,0,0.559513,False,33,-1.36569,5.47109,1.766293,27,1.642925,0.060849,0
원상현,2024-05-17,2024,KT,SP,1,1,101,101,132.118812,142.023256,0.425743,0.346535,0.415842,0.347826,-3.642857,0.0,1,0,0,0,0.559513,False,43,-1.41934,5.09116,1.971804,23,1.247067,0.05422,0
원상현,2024-05-23,2024,KT,SP,1,1,79,79,129.050633,139.807692,0.329114,0.379747,0.518987,0.545455,-1.0,0.0,1,0,0,1,0.559513,False,26,-1.237505,5.247815,1.751562,22,-1.797563,-0.081707,0
원상현,2024-05-29,2024,KT,SP,1,1,69,69,132.028986,140.896552,0.42029,0.246377,0.434783,0.529412,-3.666667,0.0,1,0,0,0,0.559513,False,29,-1.32043,5.43458,1.66108,17,3.181985,0.187176,0
원상현,2024-08-01,2024,KT,RP,1,1,31,31,141.258065,145.454545,0.709677,0.387097,0.483871,0.75,-1.714286,0.0,7,1,2,-8,1.580533,False,22,-1.304105,5.242065,1.524334,8,-0.140046,-0.017506,0
원상현,2024-08-04,2024,KT,RP,1,1,53,53,144.037736,146.065217,0.867925,0.169811,0.471698,0.571429,-0.733333,0.0,6,0,0,-6,0.559513,False,46,-1.20795,5.533595,2.078811,14,3.880975,0.277212,0
원상현,2024-08-07,2024,KT,RP,1,1,18,18,139.333333,148.0,0.5,0.5,0.388889,0.6,0.333333,0.0,9,0,0,12,0.559513,False,9,-1.39792,5.47324,2.165377,5,0.440487,0.088097,0
