선수,연도,팀,보직,나이,키,몸무게,날짜,구장,온도,ERA,WHIP,이닝,누적이닝,총이닝,투구수,실점,자책점,피안타,피홈런,탈삼진,볼넷,사구,K/BB,연투여부,휴식일수,연투일수,연투횟수,WBC_2023,올림픽_2021,아시안게임_2023,아시아챔피언십_2023,아시아선수권_2023,프리미어12_2019,PS_KS,PS_PO,PS_SP,PS_V,PS_WC,이동거리,총이동거리,누적이동거리,직구_피안타율,직구_구사율,변화구_구사율,FIP,FIP_변화량,평균_FIP,GS,평균_GS,GS_변화량,평균_ERA,ERA_변화량,구속,평균_구속,구속_변화량,부상위험도,피쳐타입,NP/IP,NP/IP_roll3,투구수_roll3,이닝_roll3,변화구_구사율_roll3,직구_구사율_roll3,연투여부_prev,휴식일수_prev,연투일수_prev,연투횟수_prev,누적연투일수,휴식_log,연투_log,휴식대연투비율,연투횟수_roll3,연투일수_roll3,휴식_inv,피로도지수,피로도지수_점수,혹사정도,회복실패여부,휴식_그룹
고영표,2021,KT,SP,34,187,88,2021-09-25,Home,24.5,0.0,0.63,8.0,138.3333333,166.6666667,105,0,0,3,0,6,2,0,3.0,False,6,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,7447,0.254,28.0,72.0,2.42,-0.735769231,3.155769231,87,72.96153846,14.03846154,3.343846154,-3.343846154,138.7,137.3565217,1.343478261,,변화구,13.125,37.40944444,315,25.33333333,72.0,28.0,False,5.0,1.0,0.0,1,1.791759469,0.693147181,2.5,0.0,1.0,-5.0,-0.5024040634074937,19.642857142857142,3.514525897,0,회복충분
고영표,2021,KT,SP,34,187,88,2021-10-01,Away,23.1,0.0,1.5,6.0,144.3333333,166.6666667,103,3,0,9,0,5,0,1,inf,False,5,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,7815,0.254,28.0,72.0,2.003,-1.152769231,3.155769231,72,72.96153846,-0.961538462,3.343846154,-3.343846154,,137.3565217,,,변화구,17.16666667,43.13166667,315,22.33333333,72.0,28.0,False,6.0,1.0,0.0,1,1.945910149,0.693147181,3.0,0.0,1.0,-6.0,-0.1689746324267755,48.76198083067093,3.538335421,0,회복실패
고영표,2021,KT,SP,34,187,88,2021-10-09,Away,24.0,4.5,1.33,6.0,150.3333333,166.6666667,84,3,3,8,2,5,0,0,inf,False,7,1,0,True,True,False,False,False,False,False,False,False,False,False,31,9390,8290,0.254,28.0,72.0,5.837,2.681230769,3.155769231,66,72.96153846,-6.961538462,3.343846154,1.156153846,139.4,137.3565217,2.043478261,,변화구,14.0,44.29166667,292,20.0,72.0,28.0,False,5.0,1.0,0.0,1,1.791759469,0.693147181,2.5,0.0,1.0,-5.0,-0.4283679053493048,25.6332724783204,3.250483417,0,회복충분
고영표,2021,KT,SP,34,187,88,2021-10-22,Away,14.6,6.0,1.83,6.0,156.3333333,166.6666667,99,4,4,9,0,7,2,0,3.5,False,12,1,0,True,True,False,False,False,False,False,False,False,False,False,225,9390,9083,0.254,28.0,72.0,1.837,-1.318769231,3.155769231,66,72.96153846,-6.961538462,3.343846154,2.656153846,137.0,137.3565217,-0.356521739,,변화구,16.5,47.66666667,286,18.0,72.0,28.0,False,7.0,1.0,0.0,1,2.079441542,0.693147181,3.5,0.0,1.0,-7.0,-0.233930242989921,42.85143769968051,3.138184231,0,회복충분
고영표,2021,KT,SP,34,187,88,2021-10-28,Home,16.2,1.23,1.23,7.333333333,163.6666667,166.6666667,109,1,1,8,0,11,1,0,11.0,False,5,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,9359,0.254,28.0,72.0,0.579,-2.576769231,3.155769231,84,72.96153846,11.03846154,3.343846154,-2.113846154,,137.3565217,,,변화구,14.86363636,45.36363636,292,19.33333333,72.0,28.0,False,12.0,1.0,0.0,1,2.564949357,0.693147181,6.0,0.0,1.0,-12.0,-0.4151230184690549,26.72295755362848,3.292150083,0,회복실패
고영표,2021,KT,RP,34,187,88,2021-10-30,Away,17.3,3.0,1.33,3.0,166.6666667,166.6666667,42,1,1,4,1,4,0,0,inf,False,1,1,0,True,True,False,False,False,False,False,False,False,False,False,25,9390,9412,0.254,28.0,72.0,4.837,1.681230769,3.155769231,55,72.96153846,-17.96153846,3.343846154,-0.343846154,139.7,137.3565217,2.343478261,,변화구,14.0,45.36363636,250,16.33333333,72.0,28.0,False,5.0,1.0,0.0,1,1.791759469,0.693147181,2.5,0.0,1.0,-5.0,-0.4283679053493048,25.6332724783204,4.175927583,1,회복실패
고영표,2022,KT,SP,34,187,88,2022-04-06,Home,12.7,3.38,0.63,8.0,8.0,182.3333333,99,3,3,5,1,10,0,1,inf,False,0,1,0,True,True,False,False,False,False,False,False,False,True,False,0,9299,0,0.0,0.6,99.4,2.612,0.0335714286,2.578428571,88,73.32142857,14.67857143,3.735357143,-0.355357143,135.6,137.5333333,-1.933333333,,변화구,12.375,41.23863636,250,18.33333333,81.13333333,18.86666667,False,1.0,1.0,0.0,1,0.693147181,0.693147181,0.5,0.0,1.0,-1.0,-0.5287566087142948,17.76586033774532,4.675927583,1,회복실패
고영표,2022,KT,SP,34,187,88,2022-04-12,Home,16.2,3.0,1.17,6.0,14.0,182.3333333,99,2,2,5,0,7,2,0,3.5,False,5,1,0,True,True,False,False,False,False,False,False,False,True,False,139,9299,278,0.0,0.6,99.4,1.779,-0.799428571,2.578428571,72,73.32142857,-1.321428571,3.735357143,-0.735357143,,137.5333333,,,변화구,16.5,42.875,240,17.0,90.26666667,9.733333333,False,0.0,1.0,0.0,1,0.0,0.693147181,0.0,0.0,1.0,0.0,-0.1682633144040103,48.8076220903697,2.735557146,0,회복실패
고영표,2022,KT,SP,34,187,88,2022-04-19,Away,18.9,0.0,0.29,7.0,21.0,182.3333333,89,0,0,1,0,5,1,2,5.0,False,6,1,0,True,True,False,False,False,False,False,False,False,True,False,386,9299,1032,0.0,0.6,99.4,2.969,0.390571429,2.578428571,84,73.32142857,10.67857143,3.735357143,-3.735357143,139.0,137.5333333,1.466666667,,변화구,12.71428571,41.58928571,287,21.0,99.4,0.6,False,5.0,1.0,0.0,1,1.791759469,0.693147181,2.5,0.0,1.0,-5.0,-0.5283999804062336,17.785828388863536,3.214822008,0,회복충분
고영표,2022,KT,SP,34,187,88,2022-04-24,Home,23.5,1.29,0.57,7.0,28.0,182.3333333,92,1,1,4,0,6,0,2,inf,False,4,1,0,True,True,False,False,False,False,False,False,False,True,False,0,9299,1063,0.0,0.6,99.4,2.255,-0.323428571,2.578428571,83,73.32142857,9.678571429,3.735357143,-2.445357143,,137.5333333,,,변화구,13.14285714,42.35714286,280,20.0,99.4,0.6,False,6.0,1.0,0.0,1,1.945910149,0.693147181,3.0,0.0,1.0,-6.0,-0.5006844811602927,19.72558192606116,4.197038893,1,회복실패
고영표,2022,KT,SP,34,187,88,2022-04-30,Away,25.5,3.0,1.67,6.0,34.0,182.3333333,95,3,2,10,0,7,0,1,inf,False,5,1,0,True,True,False,False,False,False,False,False,False,True,False,0,9299,1091,0.0,0.6,99.4,1.279,-1.299428571,2.578428571,71,73.32142857,-2.321428571,3.735357143,-0.735357143,,137.5333333,,,변화구,15.83333333,41.69047619,276,20.0,99.4,0.6,False,4.0,1.0,0.0,1,1.609437912,0.693147181,2.0,0.0,1.0,-4.0,-0.2559416685481265,40.928799634869925,3.120890718,0,회복실패
고영표,2022,KT,SP,34,187,88,2022-05-06,Away,22.9,0.0,0.75,8.0,42.0,182.3333333,106,0,0,4,0,5,2,0,2.5,False,5,1,0,True,True,False,False,False,False,False,False,False,True,False,31,9299,1150,0.0,0.6,99.4,2.612,0.0335714286,2.578428571,85,73.32142857,11.67857143,3.735357143,-3.735357143,,137.5333333,,,변화구,13.25,42.22619048,293,21.0,99.4,0.6,False,5.0,1.0,0.0,1,1.791759469,0.693147181,2.5,0.0,1.0,-5.0,-0.4830717200079817,21.023505248744865,3.302853794,0,회복실패
고영표,2022,KT,SP,34,187,88,2022-05-13,Home,21.0,9.53,1.94,5.666666667,47.66666667,182.3333333,95,6,6,10,1,5,1,0,5.0,False,6,1,0,True,True,False,False,False,False,False,False,False,True,False,272,9299,1713,0.0,0.6,99.4,4.171,1.592571429,2.578428571,59,73.32142857,-14.32142857,3.735357143,5.794642857,,137.5333333,,,변화구,16.76470588,45.84803921,296,19.66666667,99.4,0.6,False,5.0,1.0,0.0,1,1.791759469,0.693147181,2.5,0.0,1.0,-5.0,-0.1856827827968662,47.31287083523505,3.311155401,0,회복충분
고영표,2022,KT,SP,34,187,88,2022-05-19,Home,22.1,8.44,2.06,5.333333333,53.0,182.3333333,100,5,5,9,0,5,2,1,2.5,False,5,1,0,True,True,False,False,False,False,False,False,False,True,False,0,9299,1713,0.0,0.6,99.4,2.924,0.345571429,2.578428571,59,73.32142857,-14.32142857,3.735357143,4.704642857,,137.5333333,,,변화구,18.75,48.76470588,301,19.0,99.4,0.6,False,6.0,1.0,0.0,1,1.945910149,0.693147181,3.0,0.0,1.0,-6.0,-0.026248692545658,59.73299863076221,3.388483476,0,회복실패
고영표,2022,KT,SP,34,187,88,2022-05-25,Away,23.5,2.57,1.29,7.0,60.0,182.3333333,100,2,2,8,0,5,1,2,5.0,False,5,1,0,True,True,False,False,False,False,False,False,False,True,False,0,9299,2077,0.0,0.6,99.4,2.969,0.390571429,2.578428571,75,73.32142857,1.678571429,3.735357143,-1.165357143,,137.5333333,,,변화구,14.28571429,49.80042017,295,18.0,99.4,0.6,False,5.0,1.0,0.0,1,1.791759469,0.693147181,2.5,0.0,1.0,-5.0,-0.395437083576479,28.371748060246464,3.324261214,0,회복실패
고영표,2022,KT,SP,34,187,88,2022-05-31,Away,20.6,0.0,0.86,7.0,67.0,182.3333333,90,0,0,6,0,5,0,0,inf,False,5,1,0,True,True,False,False,False,False,False,False,False,True,False,39,9299,2446,0.0,0.6,99.4,1.683,-0.895428571,2.578428571,81,73.32142857,7.678571429,3.735357143,-3.735357143,,137.5333333,,,변화구,12.85714286,45.89285714,290,19.33333333,99.4,0.6,False,5.0,1.0,0.0,1,1.791759469,0.693147181,2.5,0.0,1.0,-5.0,-0.5163124437923566,18.75855773619352,3.270742663,0,회복실패
고영표,2022,KT,SP,34,187,88,2022-06-05,Home,21.2,2.57,1.14,7.0,74.0,182.3333333,104,2,2,6,0,9,2,1,4.5,False,4,1,0,True,True,False,False,False,False,False,False,False,True,False,0,9299,2485,0.0,0.6,99.4,1.826,-0.752428571,2.578428571,79,73.32142857,5.678571429,3.735357143,-1.165357143,,137.5333333,,,변화구,14.85714286,42.0,294,21.0,99.4,0.6,False,5.0,1.0,0.0,1,1.791759469,0.693147181,2.5,0.0,1.0,-5.0,-0.3470869396593535,32.65632131446828,4.346890837,1,회복실패
