Name,Team,Year,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp,연투 여부,휴식일 수,연투일,Height,Weight,BirthYear,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
김영우,LG,2025,2025-05-14,vs. Kiwoom,RP,,0.0,1.0,1.0,8,0,0,1,0,0,0,0,,Home,잠실 야구장,18:30,24.0,False,3,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-05-17,vs. KT,RP,L,27.0,6.0,0.333333333,15,1,1,1,0,0,1,0,,Home,잠실 야구장,17:00,18.9,False,2,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-05-17,vs. KT,RP,,0.0,1.0,1.0,15,0,0,1,0,2,0,0,,Home,잠실 야구장,17:00,18.9,False,-1,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-05-20,@ Lotte,RP,,0.0,2.0,1.0,35,0,0,2,0,1,0,0,,Away,사직 야구장,18:30,22.4,False,2,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-05-24,@ SSG,RP,,0.0,0.0,1.333333333,9,0,0,0,0,0,0,0,,Away,인천 SSG 랜더스필드,17:00,18.7,False,3,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-05-25,@ SSG,RP,,0.0,3.0,0.333333333,9,0,0,1,0,1,0,0,,Away,인천 SSG 랜더스필드,14:00,18.2,True,0,2,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-05-28,vs. Hanwha,RP,,0.0,0.75,1.333333333,10,0,0,1,0,1,0,0,,Home,잠실 야구장,18:30,23.5,False,2,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-05-29,vs. Hanwha,RP,SV,0.0,1.0,1.0,18,0,0,0,0,2,1,0,,Home,잠실 야구장,18:30,25.2,True,0,2,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-05-31,vs. Samsung,RP,,0.0,1.0,1.0,16,0,0,1,0,1,0,0,,Home,잠실 야구장,17:00,25.6,False,1,1,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
김영우,LG,2025,2025-06-01,vs. Samsung,RP,,13.5,6.0,0.666666667,13,1,1,3,0,0,1,0,,Home,잠실 야구장,17:00,25.6,True,0,2,185cm,90kg,2005,0.0,66.6,0.0,21.4,7.1,0.0,0.0,4.9,0.0,0.0,0.0,0.313,0.0,0.261,0.182,0.0,0.0,0.1,0.0,0.0
