이름,연도,팀,보직,나이,키,몸무게,날짜,구장,온도,ERA,WHIP,이닝,누적이닝,총이닝,투구수,실점,자책점,피안타,피홈런,탈삼진,볼넷,사구,K/BB,연투여부,휴식일수,연투일수,연투횟수,WBC_2023,올림픽_2021,아시안게임_2023,아시아챔피언십_2023,아시아선수권_2023,프리미어12_2019,PS_KS,PS_PO,PS_SP,PS_V,PS_WC,이동거리,총이동거리,누적이동거리,직구_피안타율,직구_구사율,변화구_구사율,FIP,FIP_변화량,평균_FIP,GS,평균_GS,GS_변화량,평균_ERA,ERA_변화량,구속,평균_구속,구속_변화량,부상위험도
고영표,2022,KT,SP,34,187,88,2022-04-12,Home,16.2,3,1.17,6,14,182.3333333,99,2,2,5,0,7,2,0,3.5,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,139,9299,278,0,0.6,99.4,1.779,-0.799428571,2.578428571,72,73.32142857,-1.321428571,3.735357143,-0.735357143,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-04-19,Away,18.9,0,0.29,7,21,182.3333333,89,0,0,1,0,5,1,2,5,FALSE,6,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,386,9299,1032,0,0.6,99.4,2.969,0.390571429,2.578428571,84,73.32142857,10.67857143,3.735357143,-3.735357143,139,137.5333333,1.466666667,
고영표,2022,KT,SP,34,187,88,2022-04-24,Home,23.5,1.29,0.57,7,28,182.3333333,92,1,1,4,0,6,0,2,inf,FALSE,4,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,9299,1063,0,0.6,99.4,2.255,-0.323428571,2.578428571,83,73.32142857,9.678571429,3.735357143,-2.445357143,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-04-30,Away,25.5,3,1.67,6,34,182.3333333,95,3,2,10,0,7,0,1,inf,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,9299,1091,0,0.6,99.4,1.279,-1.299428571,2.578428571,71,73.32142857,-2.321428571,3.735357143,-0.735357143,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-05-06,Away,22.9,0,0.75,8,42,182.3333333,106,0,0,4,0,5,2,0,2.5,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,31,9299,1150,0,0.6,99.4,2.612,0.0335714286,2.578428571,85,73.32142857,11.67857143,3.735357143,-3.735357143,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-05-13,Home,21,9.53,1.94,5.666666667,47.66666667,182.3333333,95,6,6,10,1,5,1,0,5,FALSE,6,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,272,9299,1713,0,0.6,99.4,4.171,1.592571429,2.578428571,59,73.32142857,-14.32142857,3.735357143,5.794642857,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-05-19,Home,22.1,8.44,2.06,5.333333333,53,182.3333333,100,5,5,9,0,5,2,1,2.5,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,9299,1713,0,0.6,99.4,2.924,0.345571429,2.578428571,59,73.32142857,-14.32142857,3.735357143,4.704642857,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-05-25,Away,23.5,2.57,1.29,7,60,182.3333333,100,2,2,8,0,5,1,2,5,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,9299,2077,0,0.6,99.4,2.969,0.390571429,2.578428571,75,73.32142857,1.678571429,3.735357143,-1.165357143,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-05-31,Away,20.6,0,0.86,7,67,182.3333333,90,0,0,6,0,5,0,0,inf,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,39,9299,2446,0,0.6,99.4,1.683,-0.895428571,2.578428571,81,73.32142857,7.678571429,3.735357143,-3.735357143,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-06-05,Home,21.2,2.57,1.14,7,74,182.3333333,104,2,2,6,0,9,2,1,4.5,FALSE,4,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,9299,2485,0,0.6,99.4,1.826,-0.752428571,2.578428571,79,73.32142857,5.678571429,3.735357143,-1.165357143,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-06-11,Away,26,0,0.56,9,83,182.3333333,100,0,0,5,0,9,0,0,inf,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,9299,2914,0,0.6,99.4,1.112,-1.466428571,2.578428571,98,73.32142857,24.67857143,3.735357143,-3.735357143,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-06-17,Away,27.3,2.25,1,8,91,182.3333333,104,2,2,6,0,5,2,0,2.5,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,31,9299,3313,0,0.6,99.4,2.612,0.0335714286,2.578428571,81,73.32142857,7.678571429,3.735357143,-1.485357143,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-06-24,Home,25.6,9.64,2.36,4.666666667,95.66666667,182.3333333,103,5,5,11,0,5,0,2,inf,FALSE,6,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,9299,3344,0,0.6,99.4,2.255,-0.323428571,2.578428571,57,73.32142857,-16.32142857,3.735357143,5.904642857,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-07-01,Home,31.2,7.5,1.83,6,101.6666667,182.3333333,89,5,5,11,0,7,0,1,inf,FALSE,6,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,276,9299,3896,0,0.6,99.4,1.279,-1.299428571,2.578428571,67,73.32142857,-6.321428571,3.735357143,3.764642857,138,137.5333333,0.466666667,
고영표,2022,KT,SP,34,187,88,2022-07-14,Home,28.5,0,0.57,7,108.6666667,182.3333333,92,0,0,3,0,6,1,0,6,FALSE,12,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,9299,4440,0,0.6,99.4,1.826,-0.752428571,2.578428571,83,73.32142857,9.678571429,3.735357143,-3.735357143,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-07-23,Away,27.8,4.26,1.26,6.333333333,115,182.3333333,80,3,3,8,1,5,0,0,inf,FALSE,8,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,9299,4579,0,0.6,99.4,3.586,1.007571429,2.578428571,70,73.32142857,-3.321428571,3.735357143,0.524642857,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-07-29,Away,33.5,1.5,1.5,6,121,182.3333333,100,1,1,6,0,3,3,0,1,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,31,9299,4749,0,0.6,99.4,3.612,1.033571429,2.578428571,66,73.32142857,-7.321428571,3.735357143,-2.235357143,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-08-05,Home,32.5,0,1.17,6,127,182.3333333,91,0,0,5,0,2,2,0,1,FALSE,6,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,330,9299,5426,0,0.6,99.4,3.445,0.866571429,2.578428571,69,73.32142857,-4.321428571,3.735357143,-3.735357143,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-08-12,Away,29.1,6.43,1.43,7,134,182.3333333,100,5,5,9,0,4,1,1,4,FALSE,6,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,9299,5465,0,0.6,99.4,2.826,0.247571429,2.578428571,70,73.32142857,-3.321428571,3.735357143,2.694642857,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-08-24,Away,26.9,1.08,0.72,8.333333333,142.3333333,182.3333333,98,1,1,6,1,6,0,0,inf,FALSE,11,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,9299,6271,0,0.6,99.4,3.232,0.653571429,2.578428571,87,73.32142857,13.67857143,3.735357143,-2.655357143,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-08-31,Home,25.1,3,1.67,6,148.3333333,182.3333333,89,2,2,9,1,6,1,0,6,FALSE,6,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,9299,6962,0,0.6,99.4,3.779,1.200571429,2.578428571,67,73.32142857,-6.321428571,3.735357143,-0.735357143,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-09-06,Home,25.1,4.5,1.33,6,154.3333333,182.3333333,97,4,3,7,1,4,1,0,4,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,272,9299,7506,0,0.6,99.4,4.445,1.866571429,2.578428571,66,73.32142857,-7.321428571,3.735357143,0.764642857,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-09-11,Away,25.5,4.5,1.67,6,160.3333333,182.3333333,101,3,3,10,1,4,0,0,inf,FALSE,4,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,9299,7534,0,0.6,99.4,3.945,1.366571429,2.578428571,65,73.32142857,-8.321428571,3.735357143,0.764642857,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-09-17,Home,29.8,1.29,0.86,7,167.3333333,182.3333333,89,2,1,6,0,9,0,0,inf,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,31,9299,7892,0,0.6,99.4,0.541,-2.037428571,2.578428571,84,73.32142857,10.67857143,3.735357143,-2.445357143,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-09-23,Away,24.8,3.86,1.14,7,174.3333333,182.3333333,89,3,3,7,0,4,1,0,4,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,9299,8244,0,0.6,99.4,2.398,-0.180428571,2.578428571,74,73.32142857,0.678571429,3.735357143,0.124642857,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-10-05,Home,17.3,9,1.6,5,179.3333333,182.3333333,71,5,5,8,0,5,0,0,inf,FALSE,11,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,9299,8724,0,0.6,99.4,1.112,-1.466428571,2.578428571,62,73.32142857,-11.32142857,3.735357143,5.264642857,,137.5333333,,
고영표,2022,KT,SP,34,187,88,2022-10-11,Away,14.4,12,2,3,182.3333333,182.3333333,55,4,4,6,0,3,0,2,inf,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,31,9299,9349,0,0.6,99.4,3.112,0.533571429,2.578428571,51,73.32142857,-22.32142857,3.735357143,8.264642857,,137.5333333,,
고영표,2023,KT,RP,34,187,88,2023-04-02,Home,23.1,0,1.5,0.666666667,0.666666667,174.6666667,8,0,0,1,0,1,0,0,inf,FALSE,0,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,7330,0,0.331683794,25.3,74.7,0.255,-2.668214286,2.923214286,44,71.25,-27.25,3.162857143,-3.162857143,,134.771875,,
고영표,2023,KT,SP,34,187,88,2023-04-07,Away,16.9,1.29,0.57,7,7.666666667,174.6666667,80,1,1,4,1,4,0,0,inf,FALSE,4,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,368,7330,368,0.331683794,25.3,74.7,3.969,1.045785714,2.923214286,79,71.25,7.75,3.162857143,-1.872857143,,134.771875,,
고영표,2023,KT,SP,34,187,88,2023-04-12,Away,16,7.94,1.41,5.666666667,13.33333333,174.6666667,85,5,5,8,2,6,0,1,inf,FALSE,4,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,7330,425,0.331683794,25.3,74.7,6.255,3.331785714,2.923214286,63,71.25,-8.25,3.162857143,4.777142857,,134.771875,,
고영표,2023,KT,SP,34,187,88,2023-04-18,Home,17.3,2.57,1.29,7,20.33333333,174.6666667,91,2,2,7,0,4,2,2,2,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,7330,755,0.331683794,25.3,74.7,3.826,0.902785714,2.923214286,73,71.25,1.75,3.162857143,-0.592857143,,134.771875,,
고영표,2023,KT,SP,34,187,88,2023-04-23,Away,22,1.29,1,7,27.33333333,174.6666667,95,1,1,7,0,3,0,0,inf,FALSE,4,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,7330,786,0.331683794,25.3,74.7,2.398,-0.525214286,2.923214286,77,71.25,5.75,3.162857143,-1.872857143,,134.771875,,
고영표,2023,KT,SP,34,187,88,2023-04-29,Home,11.7,2.57,1.43,7,34.33333333,174.6666667,104,2,2,9,0,2,1,0,2,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,7330,838,0.331683794,25.3,74.7,3.112,0.188785714,2.923214286,71,71.25,-0.25,3.162857143,-0.592857143,,134.771875,,
고영표,2023,KT,SP,34,187,88,2023-05-12,Home,22.3,1.13,0.63,8,42.33333333,174.6666667,97,1,1,5,0,5,0,0,inf,FALSE,12,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,7330,1192,0.331683794,25.3,74.7,2.005,-0.918214286,2.923214286,87,71.25,15.75,3.162857143,-2.032857143,,134.771875,,
고영표,2023,KT,SP,34,187,88,2023-05-18,Away,22.5,15.43,3.21,4.666666667,47,174.6666667,82,8,8,12,0,3,3,0,1,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,7330,1223,0.331683794,25.3,74.7,3.898,0.974785714,2.923214286,45,71.25,-26.25,3.162857143,12.26714286,,134.771875,,
