Name,Year,Team,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp,연투 여부,휴식일 수,연투일,2023WBC,2021올림픽,2023아시안게임,2023아시아프로야구챔피언십,2023 아시아 야구 선수권 대회,2019프리미어12,PS_KS,PS_PO,PS_SP,PS_V,PS_WC
김범수,2020,Hanwha,2020-07-03,@ Doosan,SP,,0,1.33,6,103,0,0,4,0,4,4,0,64,Away,잠실 야구장,18:30,26.5,FALSE,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2020,Hanwha,2020-07-09,vs. Lotte,SP,L,6,1,6,93,4,4,4,2,4,2,1,49,Home,대전 한화생명 볼파크,18:30,30.6,FALSE,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2020,Hanwha,2020-07-15,@ KT,SP,W,1.59,1.24,5 ⅔,103,1,1,5,0,9,2,0,62,Away,수원 KT 위즈파크,18:30,26.3,FALSE,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2020,Hanwha,2020-07-21,vs. Kia,SP,L,12.27,3,3 ⅔,95,5,5,7,1,3,4,1,25,Home,대전 한화생명 볼파크,18:30,29.7,FALSE,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2020,Hanwha,2020-07-29,@ Samsung,SP,,31.5,4.5,2,72,7,7,4,2,2,5,0,17,Away,대구 삼성 라이온즈 파크,18:30,26.9,FALSE,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2020,Hanwha,2020-10-30,vs. KT,SP,,3.38,3,2 ⅔,86,1,1,4,0,5,4,0,47,Home,대전 한화생명 볼파크,18:30,14.8,FALSE,92,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-04-04,@ KT,RP,L,9,3,1,21,1,1,1,0,1,2,0,,Away,수원 KT 위즈파크,14:00,15.4,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-04-08,@ SSG,RP,,0,0.43,2 ⅓,26,0,0,1,0,3,0,0,,Away,인천 SSG 랜더스필드,18:30,15.4,FALSE,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-04-11,vs. Doosan,RP,,0,0.75,1 ⅓,16,0,0,1,0,1,0,0,,Home,대전 한화생명 볼파크,14:00,22.1,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-04-14,@ Samsung,RP,,0,1,1,11,0,0,1,0,0,0,0,,Away,대구 삼성 라이온즈 파크,18:30,13.2,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-04-17,@ NC,SP,L,10.13,2.63,2 ⅔,67,3,3,2,1,5,5,0,42,Away,창원 NC 파크,17:00,16.4,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-04-21,vs. Kiwoom,RP,H,6.75,3,1 ⅓,35,1,1,3,0,3,1,0,,Home,대전 한화생명 볼파크,18:30,26.9,FALSE,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-04-24,vs. LG,RP,W,0,1.5,1 ⅓,34,0,0,1,0,2,1,0,,Home,대전 한화생명 볼파크,17:00,22.9,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-04-27,@ Kia,RP,L,13.5,3,0 ⅔,23,1,1,2,0,0,0,0,,Away,광주 기아 챔피언스 필드,18:30,19.2,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-04-29,@ Kia,RP,,0,0,1,11,0,0,0,0,1,0,0,,Away,광주 기아 챔피언스 필드,18:30,20.6,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-04-30,@ Lotte,RP,H,0,0.75,2 ⅔,48,0,0,1,0,5,1,0,,Away,사직 야구장,18:30,18.3,TRUE,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-05-05,vs. Samsung,RP,L,81,9,0 ⅓,10,3,3,3,0,0,0,0,,Home,대전 한화생명 볼파크,14:00,20.2,FALSE,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-05-06,vs. Samsung,RP,,18,3,1,28,2,2,2,0,1,1,0,,Home,대전 한화생명 볼파크,18:30,21.7,TRUE,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-05-09,@ LG,RP,W,3,1.33,3,45,1,1,3,0,1,1,0,,Away,잠실 야구장,14:00,20.9,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-05-12,vs. NC,RP,,27,3,0 ⅔,19,2,2,1,0,1,1,0,,Home,대전 한화생명 볼파크,18:30,25.3,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
김범수,2021,Hanwha,2021-05-18,vs. Lotte,RP,,0,1,1,26,0,0,0,0,1,1,0,,Home,대전 한화생명 볼파크,18:30,23.8,FALSE,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
