Name,Team,Year,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp
네일,Kia,2025,2025-05-29,vs. Kiwoom,SP,,3.0,1.5,6,96,2,2,8,0,2,1,2,47.0,Home,광주 기아 챔피언스 필드,18:30,25.8
네일,Kia,2025,2025-05-23,@ Samsung,SP,,5.68,1.26,6 ⅓,98,4,4,8,0,8,0,1,48.0,Away,대구 삼성 라이온즈 파크,18:30,18.4
네일,Kia,2025,2025-05-17,vs. Doosan,SP,W,2.57,1.14,7,102,2,2,6,1,8,2,1,62.0,Home,광주 기아 챔피언스 필드,17:00,21.7
네일,Kia,2025,2025-05-11,@ SSG,SP,L,15.75,2.5,4,82,7,7,8,0,4,2,0,20.0,Away,인천 SSG 랜더스필드,14:00,16.8
네일,Kia,2025,2025-05-04,vs. Hanwha,SP,,1.29,0.57,7,101,1,1,3,0,10,1,2,74.0,Home,광주 기아 챔피언스 필드,14:00,20.3
네일,Kia,2025,2025-04-27,vs. LG,SP,,3.0,1.33,6,89,2,2,4,0,3,4,0,55.0,Home,광주 기아 챔피언스 필드,14:00,24.1
네일,Kia,2025,2025-04-20,@ Doosan,SP,,3.18,1.76,5 ⅔,100,2,2,8,0,7,2,0,50.0,Away,잠실 야구장,14:00,22.5
네일,Kia,2025,2025-04-15,vs. KT,SP,,0.0,1.0,6,91,0,0,5,0,6,1,0,67.0,Home,광주 기아 챔피언스 필드,18:30,13.2
네일,Kia,2025,2025-04-09,@ Lotte,SP,W,1.29,1.14,7,92,1,1,6,0,6,2,0,65.0,Away,사직 야구장,18:30,14.9
네일,Kia,2025,2025-04-03,vs. Samsung,SP,W,0.0,0.57,7,87,0,0,3,0,2,1,1,71.0,Home,광주 기아 챔피언스 필드,18:30,12.2
네일,Kia,2025,2025-03-28,@ Hanwha,SP,,0.0,0.83,6,101,0,0,3,0,5,2,0,69.0,Away,대전 한화생명 볼파크,18:30,6.4
성영탁,Kia,2025,2025-07-09,@ Hanwha,RP,,0.0,1.2,1 ⅔,23,0,0,2,0,0,0,0,,Away,대전 한화생명 볼파크,18:30,32.1
성영탁,Kia,2025,2025-07-06,vs. Lotte,RP,,0.0,1.5,1 ⅓,19,0,0,1,0,1,1,0,,Home,광주 기아 챔피언스 필드,17:00,33.2
성영탁,Kia,2025,2025-07-04,vs. Lotte,RP,,0.0,0.0,0 ⅔,7,0,0,0,0,0,0,0,,Home,광주 기아 챔피언스 필드,18:30,30.7
성영탁,Kia,2025,2025-07-02,vs. SSG,RP,,0.0,0.0,1 ⅓,10,0,0,0,0,0,0,0,,Home,광주 기아 챔피언스 필드,18:30,33.1
성영탁,Kia,2025,2025-06-29,@ LG,RP,,0.0,0.0,0 ⅓,3,0,0,0,0,0,0,0,,Away,잠실 야구장,17:00,31.1
성영탁,Kia,2025,2025-06-28,@ LG,RP,W,0.0,1.2,1 ⅔,15,0,0,2,0,0,0,0,,Away,잠실 야구장,17:00,29.9
성영탁,Kia,2025,2025-06-26,@ Kiwoom,RP,,27.0,9.0,0 ⅓,23,3,1,2,0,0,1,0,,Away,고척 스카이돔,18:30,25.5
성영탁,Kia,2025,2025-06-24,@ Kiwoom,RP,,13.5,1.5,0 ⅔,12,1,1,1,1,1,0,0,,Away,고척 스카이돔,18:30,25.5
성영탁,Kia,2025,2025-06-21,@ SSG,RP,,0.0,0.6,1 ⅔,19,0,0,1,0,1,0,0,,Away,인천 SSG 랜더스필드,17:00,23.5
성영탁,Kia,2025,2025-06-19,vs. KT,RP,,0.0,0.0,2,19,0,0,0,0,2,0,0,,Home,광주 기아 챔피언스 필드,18:30,29.3
성영탁,Kia,2025,2025-06-17,vs. KT,RP,,0.0,2.0,1,24,0,0,1,0,1,1,0,,Home,광주 기아 챔피언스 필드,18:30,29.8
성영탁,Kia,2025,2025-06-14,@ NC,RP,,0.0,1.8,1 ⅔,31,0,0,1,0,2,2,0,,Away,창원 NC 파크,17:00,27.3
성영탁,Kia,2025,2025-06-12,vs. Samsung,RP,,0.0,1.0,1,15,0,0,1,0,0,0,0,,Home,광주 기아 챔피언스 필드,18:30,26.3
성영탁,Kia,2025,2025-06-08,vs. Hanwha,RP,,0.0,0.75,2 ⅔,35,0,0,2,0,1,0,0,,Home,광주 기아 챔피언스 필드,17:00,28.7
