PlayerName,Year,Team,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp
고영표,2022,KT,2022-09-17,vs. Lotte,SP,L,1.29,0.86,7,89,2,1,6,0,9,0,0,68.0,Home,수원 KT 위즈파크,17:00,29.8
고영표,2022,KT,2022-09-11,@ Kiwoom,SP,L,4.5,1.67,6,101,3,3,10,1,4,0,0,44.0,Away,고척 스카이돔,14:00,25.5
고영표,2022,KT,2022-09-06,vs. Hanwha,SP,,4.5,1.33,6,97,4,3,7,1,4,1,0,47.0,Home,수원 KT 위즈파크,18:30,25.1
고영표,2022,KT,2022-08-31,vs. Doosan,SP,W,3.0,1.67,6,89,2,2,9,1,6,1,0,51.0,Home,수원 KT 위즈파크,18:30,25.1
고영표,2022,KT,2022-08-24,@ Doosan,SP,W,1.08,0.72,8 ⅓,98,1,1,6,1,6,0,0,73.0,Away,잠실 야구장,18:30,26.9
고영표,2022,KT,2022-08-12,@ SSG,SP,W,6.43,1.43,7,100,5,5,9,0,4,1,1,41.0,Away,인천 SSG 랜더스필드,18:30,29.1
고영표,2022,KT,2022-08-05,vs. Hanwha,SP,W,0.0,1.17,6,91,0,0,5,0,2,2,0,62.0,Home,수원 KT 위즈파크,18:30,32.5
고영표,2022,KT,2022-07-29,@ LG,SP,W,1.5,1.5,6,100,1,1,6,0,3,3,0,56.0,Away,잠실 야구장,18:30,33.5
고영표,2022,KT,2022-07-23,@ Hanwha,SP,W,4.26,1.26,6 ⅓,80,3,3,8,1,5,0,0,50.0,Away,대전 한화생명 볼파크,18:00,27.8
고영표,2022,KT,2022-07-14,vs. Samsung,SP,W,0.0,0.57,7,92,0,0,3,0,6,1,0,76.0,Home,수원 KT 위즈파크,18:30,28.5
고영표,2022,KT,2022-07-01,vs. Doosan,SP,W,7.5,1.83,6,89,5,5,11,0,7,0,1,36.0,Home,수원 KT 위즈파크,18:30,31.2
고영표,2022,KT,2022-06-24,vs. LG,SP,,9.64,2.36,4 ⅔,103,5,5,11,0,5,0,2,25.0,Home,수원 KT 위즈파크,18:30,25.6
고영표,2022,KT,2022-06-17,@ Doosan,SP,W,2.25,1.0,8,104,2,2,6,0,5,2,0,65.0,Away,잠실 야구장,18:30,27.3
고영표,2022,KT,2022-06-11,@ Lotte,SP,W,0.0,0.56,9,100,0,0,5,0,9,0,0,86.0,Away,사직 야구장,17:00,26.0
고영표,2022,KT,2022-06-05,vs. Kia,SP,,2.57,1.14,7,104,2,2,6,0,9,2,1,63.0,Home,수원 KT 위즈파크,17:00,21.2
고영표,2022,KT,2022-05-31,@ SSG,SP,W,0.0,0.86,7,90,0,0,6,0,5,0,0,70.0,Away,인천 SSG 랜더스필드,18:30,20.6
고영표,2022,KT,2022-05-25,@ NC,SP,,2.57,1.29,7,100,2,2,8,0,5,1,2,55.0,Away,창원 NC 파크,18:30,23.5
고영표,2022,KT,2022-05-19,vs. LG,SP,L,8.44,2.06,5 ⅓,100,5,5,9,0,5,2,1,32.0,Home,수원 KT 위즈파크,18:30,22.1
고영표,2022,KT,2022-05-13,vs. Kiwoom,SP,L,9.53,1.94,5 ⅔,95,6,6,10,1,5,1,0,29.0,Home,수원 KT 위즈파크,18:30,21.0
고영표,2022,KT,2022-05-06,@ Doosan,SP,W,0.0,0.75,8,106,0,0,4,0,5,2,0,77.0,Away,잠실 야구장,18:30,22.9
고영표,2022,KT,2022-04-30,@ Kiwoom,SP,L,3.0,1.67,6,95,3,2,10,0,7,0,1,48.0,Away,고척 스카이돔,17:00,25.5
고영표,2022,KT,2022-04-24,vs. NC,SP,,1.29,0.57,7,92,1,1,4,0,6,0,2,69.0,Home,수원 KT 위즈파크,14:00,23.5
고영표,2022,KT,2022-04-19,@ LG,SP,W,0.0,0.29,7,89,0,0,1,0,5,1,2,77.0,Away,잠실 야구장,18:30,18.9
고영표,2022,KT,2022-04-12,vs. Doosan,SP,L,3.0,1.17,6,99,2,2,5,0,7,2,0,59.0,Home,수원 KT 위즈파크,18:30,16.2
고영표,2022,KT,2022-04-06,vs. SSG,SP,L,3.38,0.63,8,99,3,3,5,1,10,0,1,69.0,Home,수원 KT 위즈파크,18:30,12.7
고영표,2021,KT,2021-10-30,@ SSG,RP,H,3.0,1.33,3,42,1,1,4,1,4,0,0,,Away,인천 SSG 랜더스필드,17:00,17.3
고영표,2021,KT,2021-10-28,vs. NC,SP,,1.23,1.23,7 ⅓,109,1,1,8,0,11,1,0,68.0,Home,수원 KT 위즈파크,18:30,16.2
고영표,2021,KT,2021-10-22,@ Samsung,SP,L,6.0,1.83,6,99,4,4,9,0,7,2,0,43.0,Away,대구 삼성 라이온즈 파크,18:30,14.6
고영표,2021,KT,2021-10-09,@ LG,SP,L,4.5,1.33,6,84,3,3,8,2,5,0,0,49.0,Away,잠실 야구장,17:00,24.0
고영표,2021,KT,2021-10-01,@ Lotte,SP,,0.0,1.5,6,103,3,0,9,0,5,0,1,52.0,Away,사직 야구장,18:30,23.1
고영표,2021,KT,2021-09-25,vs. LG,SP,,0.0,0.63,8,105,0,0,3,0,6,2,0,80.0,Home,수원 KT 위즈파크,17:00,24.5
고영표,2021,KT,2021-09-18,@ NC,SP,W,1.08,0.72,8 ⅓,107,1,1,6,0,2,0,0,69.0,Away,창원 NC 파크,17:00,25.5
고영표,2021,KT,2021-09-12,vs. SSG,SP,W,0.0,0.78,9,103,0,0,7,0,7,0,0,80.0,Home,수원 KT 위즈파크,14:00,28.4
고영표,2021,KT,2021-09-04,@ LG,SP,W,0.0,0.5,8,90,1,0,4,0,4,0,0,76.0,Away,잠실 야구장,17:00,26.8
고영표,2021,KT,2021-08-27,vs. SSG,SP,,4.5,1.5,6,98,3,3,6,0,7,3,0,52.0,Home,수원 KT 위즈파크,18:30,24.5
고영표,2021,KT,2021-08-22,@ Lotte,SP,W,0.0,0.43,7,97,0,0,2,0,4,1,1,75.0,Away,사직 야구장,17:00,29.3
고영표,2021,KT,2021-08-15,vs. Samsung,SP,,6.0,1.33,6,96,4,4,5,0,2,3,1,44.0,Home,수원 KT 위즈파크,17:00,30.4
고영표,2021,KT,2021-07-09,@ Kia,SP,L,16.2,3.0,3 ⅓,75,6,6,8,0,2,2,0,20.0,Away,광주 기아 챔피언스 필드,18:30,30.3
고영표,2021,KT,2021-06-30,@ LG,SP,W,3.86,0.71,7,87,3,3,4,1,1,1,0,57.0,Away,잠실 야구장,18:30,28.5
고영표,2021,KT,2021-06-23,vs. Kia,SP,L,2.57,0.57,7,95,2,2,3,0,4,1,1,65.0,Home,수원 KT 위즈파크,18:30,25.6
고영표,2021,KT,2021-06-16,@ NC,SP,W,4.5,1.0,6,97,3,3,5,1,7,1,0,56.0,Away,창원 NC 파크,18:30,23.1
고영표,2021,KT,2021-06-08,@ SSG,SP,W,0.0,0.83,6,95,0,0,4,0,5,1,2,66.0,Away,인천 SSG 랜더스필드,18:30,24.2
고영표,2021,KT,2021-06-01,@ LG,SP,W,1.35,0.75,6 ⅔,98,1,1,3,0,6,2,1,67.0,Away,잠실 야구장,18:30,23.5
